資質名,種別,内容
親密性,定義,信頼できる相手と、狭く深く、長期的な関係を築こうとする性質がある。
親密性,強み,相手と丁寧に向き合い、深い信頼関係を築き、長期的に支え続けられること。
ポジティブ,定義,物事の良い面を見つけ、困難な状況にも前向きな意味を見いだそうとする性質がある。
ポジティブ,強み,周囲に希望や活力を与え、失敗や逆境から立ち直って前進する力を引き出せること。
個別化,定義,一人ひとりの違いや個性を見つけ、その人に合った関わり方や役割を考えようとする性質がある。
個別化,強み,相手の特性やニーズを見極め、能力を活かせる対応・役割・環境を個別に設計できること。
包含,定義,人の違いや多様性を受け入れ、輪から外れている人も仲間に加えようとする性質がある。
包含,強み,人と人をつなぎ、誰もが所属感と安心感を持てる一体感のある集団をつくれること。
調和性,定義,意見や感情の衝突を避け、異なる立場の共通点や妥協点を見つけようとする性質がある。
調和性,強み,人々の意見を引き出してまとめ、対立を抑えながら、納得感のある合意と協力関係をつくれること。
共感性,定義,相手が言葉にしていない感情や場の空気を敏感に感じ取り、自分のことのように理解しようとする性質がある。
共感性,強み,相手の気持ちや言葉にならないニュアンスを汲み取り、その人に寄り添った言葉や支援を提供できること。
成長促進,定義,相手の可能性や小さな成長の兆しを見つけ、その成長を支えようとする性質がある。
成長促進,強み,相手に合った働きかけを続けながら、成長意欲を引き出し、能力が伸びるまで粘り強く支援できること。
運命思考,定義,人・出来事・社会は互いにつながっており、起きることには意味があると捉える性質がある。
運命思考,強み,個別の出来事を大きなつながりの中で捉え、人や組織の共通点を見つけて橋渡しし、連帯感や意味を生み出せること。
適応性,定義,変化する状況を受け入れ、その時点で最も必要な行動に柔軟に切り替えようとする性質がある。
適応性,強み,予想外の変化やトラブルにも動じず、状況を素早く見極めて臨機応変に物事を前進させられること。
